[github.com/flipped-aurora/gin-vue-admin/server]2021/12/19 - 11:31:15.793	[31merror[0m	D:/GoProject/Gin-Vue-Admin/server/router/system/index_captcha.go:27	注册失败!	{"error": "Error 1265: Data truncated for column 'id' at row 1"}
[github.com/flipped-aurora/gin-vue-admin/server]2021/12/19 - 19:47:12.638	[31merror[0m	D:/GoProject/Gin-Vue-Admin/server/router/system/index_manage.go:68	获取失败!	{"error": "Course: unsupported relations; Score: unsupported relations; Teacher: unsupported relations"}
[github.com/flipped-aurora/gin-vue-admin/server]2021/12/19 - 19:48:55.728	[31merror[0m	D:/GoProject/Gin-Vue-Admin/server/router/system/index_manage.go:68	获取失败!	{"error": "Course: unsupported relations; Score: unsupported relations; Teacher: unsupported relations"}
[github.com/flipped-aurora/gin-vue-admin/server]2021/12/19 - 19:49:13.569	[31merror[0m	D:/GoProject/Gin-Vue-Admin/server/router/system/index_manage.go:68	获取失败!	{"error": "Course: unsupported relations; Score: unsupported relations; Teacher: unsupported relations"}
[github.com/flipped-aurora/gin-vue-admin/server]2021/12/19 - 19:49:24.328	[31merror[0m	D:/GoProject/Gin-Vue-Admin/server/router/system/index_manage.go:68	获取失败!	{"error": "Course: unsupported relations; Score: unsupported relations; Teacher: unsupported relations"}
[github.com/flipped-aurora/gin-vue-admin/server]2021/12/19 - 19:53:57.367	[31merror[0m	D:/GoProject/Gin-Vue-Admin/server/router/system/index_manage.go:68	获取失败!	{"error": "Error 1146: Table 'teachsystem.roster_searches' doesn't exist"}
[github.com/flipped-aurora/gin-vue-admin/server]2021/12/19 - 19:53:59.092	[31merror[0m	D:/GoProject/Gin-Vue-Admin/server/router/system/index_manage.go:68	获取失败!	{"error": "Error 1146: Table 'teachsystem.roster_searches' doesn't exist"}
[github.com/flipped-aurora/gin-vue-admin/server]2021/12/19 - 19:53:59.839	[31merror[0m	D:/GoProject/Gin-Vue-Admin/server/router/system/index_manage.go:68	获取失败!	{"error": "Error 1146: Table 'teachsystem.roster_searches' doesn't exist"}
[github.com/flipped-aurora/gin-vue-admin/server]2021/12/19 - 19:54:00.724	[31merror[0m	D:/GoProject/Gin-Vue-Admin/server/router/system/index_manage.go:68	获取失败!	{"error": "Error 1146: Table 'teachsystem.roster_searches' doesn't exist"}
[github.com/flipped-aurora/gin-vue-admin/server]2021/12/20 - 23:46:59.188	[31merror[0m	D:/GoProject/Gin-Vue-Admin/server/router/system/index_base.go:39	登录失败！用户名不存在或者密码错误	{"error": "record not found"}
[github.com/flipped-aurora/gin-vue-admin/server]2021/12/21 - 01:59:42.664	[31merror[0m	C:/Users/yzl/Desktop/teach/TeachSystem/initialize/gorm.go:35	register table failed	{"error": "invalid field found for struct server/model.User's field DataAuthority, need to define a valid foreign key for relations or it need to implement the Valuer/Scanner interface"}
[github.com/flipped-aurora/gin-vue-admin/server]2021/12/21 - 02:05:46.111	[31merror[0m	C:/Users/yzl/Desktop/teach/TeachSystem/initialize/gorm.go:35	register table failed	{"error": "invalid field found for struct server/model.User's field DataAuthority, need to define a valid foreign key for relations or it need to implement the Valuer/Scanner interface"}
[github.com/flipped-aurora/gin-vue-admin/server]2021/12/21 - 02:08:27.381	[31merror[0m	C:/Users/yzl/Desktop/teach/TeachSystem/initialize/gorm.go:35	register table failed	{"error": "invalid field found for struct server/model.User's field DataAuthority, need to define a valid foreign key for relations or it need to implement the Valuer/Scanner interface"}
[github.com/flipped-aurora/gin-vue-admin/server]2021/12/21 - 02:15:21.683	[31merror[0m	C:/Users/yzl/Desktop/teach/TeachSystem/initialize/gorm.go:35	register table failed	{"error": "invalid field found for struct server/model.Authority's field DataAuthority, need to define a valid foreign key for relations or it need to implement the Valuer/Scanner interface"}
[github.com/flipped-aurora/gin-vue-admin/server]2021/12/21 - 02:16:06.082	[31merror[0m	C:/Users/yzl/Desktop/teach/TeachSystem/initialize/gorm.go:36	register table failed	{"error": "invalid field found for struct server/model.Authority's field DataAuthority, need to define a valid foreign key for relations or it need to implement the Valuer/Scanner interface"}
[github.com/flipped-aurora/gin-vue-admin/server]2021/12/21 - 02:16:53.684	[31merror[0m	C:/Users/yzl/Desktop/teach/TeachSystem/initialize/gorm.go:36	register table failed	{"error": "invalid field found for struct server/model.Authority's field DataAuthority, need to define a valid foreign key for relations or it need to implement the Valuer/Scanner interface"}
[github.com/flipped-aurora/gin-vue-admin/server]2021/12/21 - 02:17:37.189	[31merror[0m	C:/Users/yzl/Desktop/teach/TeachSystem/initialize/gorm.go:36	register table failed	{"error": "invalid field found for struct server/model.Authority's field DataAuthority, need to define a valid foreign key for relations or it need to implement the Valuer/Scanner interface"}
[github.com/flipped-aurora/gin-vue-admin/server]2021/12/21 - 02:20:07.571	[31merror[0m	C:/Users/yzl/Desktop/teach/TeachSystem/initialize/gorm.go:36	register table failed	{"error": "invalid field found for struct server/model.Authority's field DataAuthority, need to define a valid foreign key for relations or it need to implement the Valuer/Scanner interface"}
[github.com/flipped-aurora/gin-vue-admin/server]2021/12/21 - 02:25:41.852	[31merror[0m	C:/Users/yzl/Desktop/teach/TeachSystem/initialize/gorm.go:36	register table failed	{"error": "invalid field found for struct server/model.Authority's field DataAuthorityId, need to define a valid foreign key for relations or it need to implement the Valuer/Scanner interface"}
[github.com/flipped-aurora/gin-vue-admin/server]2021/12/21 - 03:31:43.135	[31merror[0m	C:/Users/yzl/Desktop/teach/TeachSystem/router/system/admin_authority.go:41	获取失败！	{"error": "Error 1054: Unknown column 'parent_id' in 'where clause'"}
